Unit Name,Visitors,YearRaw
Bryce Canyon National Park,471517,1982
Canyonlands National Park,97079,1982
Zion National Park,1246290,1982
Capitol Reef National Park,289486,1982
Arches National Park,326508,1981
Bryce Canyon National Park,474092,1981
Canyonlands National Park,89915,1981
Zion National Park,1288808,1981
Capitol Reef National Park,397789,1981
Arches National Park,290519,1980
Bryce Canyon National Park,571541,1980
Canyonlands National Park,56505,1980
Zion National Park,1123846,1980
Capitol Reef National Park,342788,1980
Arches National Park,269840,1979
Bryce Canyon National Park,558095,1979
Canyonlands National Park,74545,1979
Zion National Park,1040528,1979
Capitol Reef National Park,288860,1979
Arches National Park,326948,1978
Bryce Canyon National Park,679260,1978
Canyonlands National Park,85932,1978
Zion National Park,1193212,1978
Capitol Reef National Park,392428,1978
Arches National Park,313400,1977
Bryce Canyon National Park,611500,1977
Canyonlands National Park,75500,1977
Zion National Park,1105900,1977
Capitol Reef National Park,428800,1977
Arches National Park,294800,1976
Bryce Canyon National Park,625600,1976
Canyonlands National Park,80000,1976
Zion National Park,1090000,1976
Capitol Reef National Park,425100,1976
Arches National Park,236100,1975
Bryce Canyon National Park,579200,1975
Canyonlands National Park,71700,1975
Zion National Park,1055200,1975
Capitol Reef National Park,263400,1975
Arches National Park,166900,1974
Bryce Canyon National Park,408800,1974
Canyonlands National Park,59000,1974
Zion National Park,859300,1974
Capitol Reef National Park,214100,1974
Arches National Park,274900,1973
Bryce Canyon National Park,429700,1973
Canyonlands National Park,62500,1973
Zion National Park,993800,1973
Capitol Reef National Park,288800,1973
Arches National Park,225128,1972
Bryce Canyon National Park,424830,1972
Canyonlands National Park,60639,1972
Zion National Park,889417,1972
Capitol Reef National Park,251163,1972
Arches National Park,202100,1971
Bryce Canyon National Park,377800,1971
Canyonlands National Park,55400,1971
Zion National Park,897000,1971
Capitol Reef National Park,225500,1971
Arches National Park,178500,1970
Bryce Canyon National Park,345900,1970
Canyonlands National Park,33400,1970
Zion National Park,903600,1970
Capitol Reef National Park,225900,1970
Arches National Park,162600,1969
Bryce Canyon National Park,366900,1969
Canyonlands National Park,26000,1969
Zion National Park,904300,1969
Capitol Reef National Park,210600,1969
Arches National Park,135600,1968
Bryce Canyon National Park,320800,1968
Canyonlands National Park,26300,1968
Zion National Park,877100,1968
Capitol Reef National Park,171000,1968
Arches National Park,120300,1967
Bryce Canyon National Park,295000,1967
Canyonlands National Park,23200,1967
Zion National Park,788400,1967
Capitol Reef National Park,146600,1967
Arches National Park,128000,1966
Bryce Canyon National Park,396600,1966
Canyonlands National Park,20200,1966
Zion National Park,815200,1966
Capitol Reef National Park,94000,1966
Arches National Park,143900,1965
Bryce Canyon National Park,366800,1965
Zion National Park,763600,1965
Capitol Reef National Park,108500,1965
Arches National Park,99700,1964
Bryce Canyon National Park,300300,1964
Zion National Park,705200,1964
Capitol Reef National Park,92500,1964
Arches National Park,118200,1963
Bryce Canyon National Park,289500,1963
Zion National Park,681100,1963
Capitol Reef National Park,93200,1963
Arches National Park,105700,1962
Bryce Canyon National Park,251000,1962
Zion National Park,622100,1962
Capitol Reef National Park,163500,1962
Arches National Park,90700,1961
Bryce Canyon National Park,264800,1961
Zion National Park,604700,1961
Capitol Reef National Park,136800,1961
Arches National Park,71600,1960
Bryce Canyon National Park,272000,1960
